index,audio,avg_prob,type,text
1095,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/xhaoJXvEuRk/338380.mp3,-0.008308011681285941,noise,"<|0.00|> поступая к дожимным насосным станциям.<|2.64|><|3.18|> Нефтяной газ отбирается в газосборную сеть,<|5.96|><|6.38|> а жидкая фаза направляется к установке комплексной подготовки<|9.74|><|9.74|> нефти.<|10.36|><|11.08|> Водная фаза движется к установке предварительного сброса<|14.24|><|14.24|> воды.<|14.92|><|15.30|> Очищенная вода подается на кустовую насосную станцию с целью<|19.46|><|19.46|> нагнетания в пласт.<|21.14|><|21.80|> Спасибо за внимание!<|23.30|><|23.82|> Ставьте лайки, подписывайтесь на канал.<|26.30|><|26.84|> Также, если хотите выбрать интересующую тему<|29.62|>"
36,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/xbrsbYaj-gU/167940.mp3,-0.010133986092922796,noise,"<|0.00|> И вот объекты разработки подразделяют на самостоятельные и<|3.40|><|3.40|> возвратные.<|4.56|><|5.12|> Возвратные объекты, в отличие от самостоятельных, предполагается<|8.52|><|8.52|> разрабатывать скважинами, эксплуатирующими в первую очередь<|11.60|><|11.60|> какой-то другой объект.<|13.32|><|15.94|> Если мы говорим о сетке размещения скважин, то мы говорим о<|18.12|><|18.12|> характере взаимного расположения добывающих и нагнетательных<|23.60|><|23.60|> скважин на эксплуатационном объекте с указанием расстояния<|28.40|><|28.40|> между ними.<|29.98|>"
121,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/bXuoSlgKMs8/56860.mp3,-0.010965330116505356,term,"<|0.00|> пластовой энергии с целью максимального извлечения нефти и<|3.88|><|3.88|> газа из недр.<|5.06|><|5.06|> О режимах судят по изменению во времени дебитов, пластовых<|9.40|><|9.40|> давлений, газовых факторов, продвижению краевых вод.<|13.92|><|14.94|> Естественные режимы работы пластов классифицируют на водонапорный,<|19.88|><|19.88|> упругий, режим газовой шапки, режим растворенного газа и гравитационный.<|25.62|><|26.16|> Охарактеризуем каждый из них подробнее.<|28.66|>"
855,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/TyJ9baht8kA/117500.mp3,-0.011665854370221496,term,"<|0.00|> Последовательная замена жидкости с большей плотностью на жидкость<|4.20|><|4.20|> с меньшей плотностью осуществляется промывкой скважины,<|8.14|><|8.14|> обычно по схеме, представленной на слайде.<|11.00|><|11.86|> После перфорации эксплуатационной колонны в скважину до<|15.12|><|15.12|> фильтра опускают насосно-компрессорные трубы.<|18.94|><|19.60|> Затем в кольцевое пространство между эксплуатационной колонной<|23.64|><|23.64|> и спущенными трубами нагнетают воду.<|26.66|>"
274,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/DXiVdLBVkIo/0.mp3,-0.011826622722946923,term,"<|0.12|> Добрый день! С вами канал Нефть и Газ.<|3.48|><|3.84|> В данном видеоролике делюсь своим личным мнением.<|6.80|><|7.18|> Изложение материала может быть упрощено и содержать неточности.<|11.40|><|12.24|> Из этого видеоролика вы узнаете об объектах разработки нефтяных<|16.12|><|16.12|> месторождений,<|17.40|><|17.78|> условиях их выделения и видах.<|20.00|><|20.68|> Основной целью разработки является извлечение промышленных<|24.50|><|24.50|> запасов углеводородов<|25.94|><|25.94|> в установленные сроки при минимуме материальных затрат<|29.48|>"
0,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/fhg9L-03uH0/0.mp3,-0.012742183643341478,connector,"<|0.28|> Добрый день! С вами канал Нефть и Газ.<|3.58|><|3.94|> В данном видеоролике делюсь своим личным мнением.<|6.90|><|7.30|> Изложение материала может быть упрощено и содержать неточности.<|11.52|><|12.42|> Из этого видеоролика вы узнаете о методах подсчета запасов<|16.02|><|16.02|> нефти и газа,<|17.20|><|17.54|> поймете, что называют коэффициентом извлечения нефти.<|20.66|><|21.38|> Для подсчета запасов нефти используются следующие методы.<|24.96|><|25.20|> Объемный, статистический и метод материального баланса.<|29.96|>"
853,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/TyJ9baht8kA/59040.mp3,-0.01340509601868689,term,"<|0.00|> Таким образом, сущность освоения скважины заключается в<|4.24|><|4.24|> создании депрессии или перепады между пластовым и забойным<|8.54|><|8.54|> давлениями.<|9.82|><|10.40|> Пластовым называют давление, под которым находится жидкость<|14.06|><|14.06|> и газ, насыщающий поры или трещины пород коллекторов.<|18.04|><|18.74|> Давление на забое, то есть дне скважины, именуют забойным.<|22.84|><|23.34|> Оно характеризует энергию пласта, обусловливающую подъем жидкости<|27.44|><|27.44|> или газа в стволе скважины.<|29.64|>"
854,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/TyJ9baht8kA/88680.mp3,-0.013610455947595515,term,"<|0.72|> Для эффективного освоения скважины необходимо, чтобы пластовое<|4.78|><|4.78|> давление превышало забойное.<|6.92|><|8.02|> Достигается это либо уменьшением плотности, либо снижением<|12.18|><|12.18|> уровня столба жидкости в скважине.<|14.82|><|14.82|> Для снижения уровня жидкости в скважине используют свобирование,<|20.16|><|20.16|> аэрацию, откачку жидкости штанговыми скважинными насосами<|24.46|><|24.46|> или погружными центробежными электронасосами.<|27.82|>"
867,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/4bvskQiMpbE/136760.mp3,-0.01381795629276894,term,"<|0.00|> кровли или подошвы относительно опорной плоскости. Глубина<|4.42|><|4.42|> или высота любой точки кровли или<|6.82|><|6.82|> подошвы пласта от уровня моря есть абсолютная отметка кровли<|11.12|><|11.12|> и подошвы в данной точке.<|12.82|><|13.88|> Построение структурной карты заключается в проведении изогипс<|18.20|><|18.20|> для кровли или подошвы пласта.<|20.26|><|20.92|> Структурные карты – основной документ при прогнозе нефтегазоносности,<|25.48|><|25.48|> оценке ресурсов и запасов<|27.72|>"
269,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/hRSLef3cN90/0.mp3,-0.014411187506630086,term,"<|0.24|> Добрый день! С вами канал Нефть и Газ. В данном видеоролике<|4.96|><|4.96|> делюсь своим личным мнением.<|6.88|><|7.26|> Изложение материала может быть упрощено и содержать неточности.<|11.48|><|12.06|> Сегодня мы обсудим коллекторские свойства продуктивного пласта.<|15.92|><|16.66|> В пластовых условиях нефть и газ обычно заполняют пустоты,<|20.24|><|20.24|> поры в горных породах.<|22.16|><|22.62|> Породы, содержащие нефть, газ, воду, называются коллекторами.<|26.84|>"
